epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,1919.07,0.00635,0.44703,1.04922,0.83289,0.71555,0.82202,0.46156,0.0101,0.80875,1.37435,5.45913e-05,5.45913e-05,5.45913e-05
87,1931.21,0.00622,0.43972,1.04632,0.82477,0.72277,0.82338,0.48534,0.00959,0.7744,1.32439,4.76817e-05,4.76817e-05,4.76817e-05
88,1943.44,0.00628,0.43659,1.03108,0.82638,0.73045,0.84369,0.49662,0.00943,0.73776,1.31586,4.12186e-05,4.12186e-05,4.12186e-05
89,1956.26,0.00642,0.47309,1.06027,0.81042,0.74068,0.83778,0.48221,0.00981,0.7409,1.35224,3.52082e-05,3.52082e-05,3.52082e-05
90,1969.25,0.00624,0.42459,1.03486,0.82895,0.71782,0.8269,0.4871,0.00981,0.76552,1.35172,2.96567e-05,2.96567e-05,2.96567e-05
91,1981.23,0.00544,0.34119,1.00617,0.86468,0.68317,0.79744,0.45399,0.00987,0.7789,1.38323,2.45693e-05,2.45693e-05,2.45693e-05
92,1995.59,0.00537,0.32703,0.99586,0.84933,0.67327,0.77521,0.43843,0.00986,0.7993,1.39651,1.99512e-05,1.99512e-05,1.99512e-05
93,2006.73,0.00513,0.30593,0.97427,0.85711,0.66832,0.76491,0.4414,0.00966,0.80031,1.37593,1.58068e-05,1.58068e-05,1.58068e-05
94,2020.35,0.00517,0.30408,0.98838,0.87449,0.65539,0.75466,0.44434,0.00945,0.79058,1.35469,1.21404e-05,1.21404e-05,1.21404e-05
95,2036.83,0.00523,0.30895,0.98612,0.88628,0.65347,0.75793,0.44704,0.00937,0.77967,1.34539,8.95549e-06,8.95549e-06,8.95549e-06
96,2052.14,0.00509,0.30835,0.97809,0.87534,0.6605,0.75911,0.44676,0.00946,0.78183,1.35208,6.25521e-06,6.25521e-06,6.25521e-06
97,2064.88,0.0051,0.2999,0.96409,0.86733,0.66337,0.75994,0.44326,0.00961,0.79075,1.36447,4.04226e-06,4.04226e-06,4.04226e-06
98,2076.39,0.00506,0.29649,0.97956,0.86843,0.66832,0.76053,0.44367,0.0097,0.7922,1.3714,2.3188e-06,2.3188e-06,2.3188e-06
99,2089.09,0.00502,0.3035,0.97444,0.86759,0.66832,0.76196,0.44277,0.00965,0.7883,1.36868,1.08654e-06,1.08654e-06,1.08654e-06
100,2100.02,0.00513,0.301,0.97528,0.85962,0.66832,0.75911,0.4453,0.00958,0.78972,1.3649,3.46695e-07,3.46695e-07,3.46695e-07
